rowname,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12
gene001,0.166488444503937,0.166911056524752,0.166910934445639,0.166640399285163,0.166716556922098,0.166332448678579,0.166706025195756,0.166767825135795,0.166689372354355,0.166625926150373,0.166608232115062,0.166602542248931
gene002,0.166346629476873,0.167105548066381,0.167105328396603,0.166619154622664,0.166755889154835,0.166067267293481,0.166897808064112,0.167262697121091,0.166799709719241,0.166426837159358,0.166323096167369,0.166289759003352
gene003,0.166311769493048,0.167153289648091,0.167153045948579,0.166613860678874,0.166765469913336,0.166002211001408,0.167367414698828,0.168489145353424,0.167067558223207,0.165934362638872,0.165620918150231,0.165520361257925
gene004,0.166570185561249,0.166798937459587,0.166798871457241,0.166652497074245,0.166693724576037,0.166485613407046,0.16689789444709,0.167262920912544,0.166799759262886,0.166426747071392,0.166322967342158,0.166289617740207
gene005,0.166153788903725,0.167369919264143,0.167369566288126,0.166589730471603,0.16680877953019,0.165707799101447,0.166923730604085,0.167329877670764,0.166814574389834,0.166399802603455,0.166284441465048,0.166247373595116
gene006,0.166564638468869,0.166806580523569,0.166806510709913,0.166651691769894,0.166695296161981,0.166475199458683,0.16673130818529,0.166832859964095,0.166703951940479,0.166599758660584,0.166570710064175,0.16656136975656
gene007,0.16640343406583,0.167027672293,0.167027491752409,0.166627711972995,0.166740190328156,0.166173394426318,0.166818938068969,0.16705876034267,0.166754402043544,0.166508863183028,0.166440482317115,0.166418501949089
gene008,0.166468562952034,0.166938298934523,0.166938163204459,0.166637431099612,0.166722078393412,0.166295239664506,0.166742753100175,0.16686234099133,0.166710542665441,0.166587878126004,0.166553684676609,0.16654269053807
gene009,0.166023735003728,0.167548119138827,0.167547675875834,0.166569527738082,0.166844046947322,0.165466108801492,0.166970056731579,0.167450087247117,0.166841115682468,0.166351443766496,0.166215328798263,0.1661715995287
gene010,0.166261838941415,0.167219318484773,0.167219041011294,0.166605404382563,0.16677789275658,0.165909958793626,0.16697677887547,0.16746833921466,0.166844752311965,0.16634340712429,0.166204059801689,0.16615929323548
gene011,0.166622141179808,0.166727709587802,0.166727679150385,0.166660145702071,0.166679173492452,0.16658307181866,0.166691359336192,0.166730112314623,0.166680914982618,0.166641115570299,0.166630014196748,0.166626444144355
gene012,0.16602534531065,0.167545994976889,0.167545552809703,0.166569808771552,0.166843656094001,0.165469068191765,0.166802518640728,0.167016430007918,0.16674494390052,0.166525846587863,0.166464817126562,0.166445198650485
gene013,0.166540985161445,0.166839010811807,0.166838924786006,0.166648194837571,0.166701905173854,0.166430864411007,0.166768601573738,0.166928914559655,0.166725435391502,0.166561100813902,0.166515306247136,0.166500583385082
gene014,0.165852338299342,0.167783362528751,0.167782799653197,0.166542644250294,0.166890304934273,0.165148306607046,0.166937975029786,0.16736677933452,0.166822749212428,0.166384990478098,0.166263257419874,0.166224144106906
gene015,0.16634279856574,0.167110772927639,0.167110550624592,0.166618566012727,0.166756931361771,0.166060123900323,0.166909217980811,0.167292256751353,0.166806254344662,0.166414943496093,0.166306087988448,0.1662711086985
gene016,0.166173623048435,0.167342769106469,0.167342429862935,0.166592798048708,0.166803390408866,0.165744698680164,0.166847592520924,0.167132803933329,0.166770868732853,0.166479061716828,0.166397824341439,0.166371714041162
gene017,0.166283804090569,0.167191282019194,0.167191019114771,0.166609490406366,0.166772976076757,0.165950163115244,0.16737320276399,0.168504560974651,0.167070794499171,0.165928038456823,0.165611972718606,0.165510577026193
gene018,0.166247937632944,0.167240894806475,0.167240606990555,0.166604184679861,0.166783060401505,0.16588312531027,0.166862489849862,0.167171306295585,0.166779431018191,0.166463587211713,0.166375674351957,0.166347420000764
gene019,0.166185908624021,0.167325965413496,0.16732563466826,0.166594699937466,0.166800056274526,0.16576755653963,0.167021753034407,0.167584346664431,0.166870728964766,0.166297556897025,0.166138333309194,0.166087189416078
gene020,0.166665047843781,0.166665047843781,0.166665047843781,0.166665047843781,0.166665047843781,0.166665047843781,0.166665857253258,0.166665857253258,0.166665857253258,0.166665857253258,0.166665857253258,0.166665857253258
gene021,0.165943816858099,0.16765779579346,0.167657296833506,0.166557044986334,0.166865670940004,0.165317807794663,0.166786294677126,0.166974574524333,0.166735608854742,0.166542688644747,0.166488940007664,0.16647166101944
