rowname,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12
gene001,0.00890737431703528,0.324375733870466,0.0177673706487667,0.0346612288880159,2.07318624418722e-05,0.283534556652122,0.0368654828327918,0.109486768112447,0.032074017367209,0.0245334078561892,5.02189669268841e-05,0.0415883258545834
gene002,0.0159241733006582,0.932395351713554,8.06450228534117e-05,0.00521037211543417,0.30559949534735,0.0416478036116216,0.0795335156526254,2.13186161150579e-07,0.069279579332587,0.281080712922422,0.00438321181984229,0.00658254640776421
gene003,0.10938106664797,0.00570635559276883,0.0216862217881369,0.00158111274121386,0.000211041911303263,0.0807792980167239,0.0891333268437691,0.0145002049745588,0.0884841875757322,0.688875437627988,0.00696484873883602,0.0391389992010051
gene004,0.00818735668073459,0.0264879767034364,0.0750981316082998,0.0397567038260137,0.0227163145884393,0.0220123338359515,0.0186993697500658,0.038767576805419,7.77889824247642e-05,0.0109508305337479,0.0142104900837414,0.00435641472099344
gene005,0.00201130871443505,0.0452593312135048,0.196405250860988,0.0412927000348546,0.101186216727568,0.151421718055648,0.10460019686057,0.0223684655722988,0.00451022455716991,0.153362301495487,0.830748877880585,0.000379339539179251
gene006,0.0384838827604288,0.0985594696570221,0.005967897497189,0.00081007534185797,0.00185404306401363,0.174904833610808,0.199158067503762,0.0817557771926233,0.0961729852337648,0.0250386349920616,0.0885017940402598,0.000216446355245058
gene007,0.035035899073178,0.0361035906893042,0.881603406585359,0.0758407640912869,0.240442156393842,0.042028036609934,0.0111079545100518,0.045104104728094,0.70806154310922,0.16688469130824,0.00486794378858946,0.0340696377421969
gene008,0.00248092977157653,0.157558341636553,0.0206234219387038,0.189383096399158,0.095304192180777,0.215189063289421,0.0345796445588959,0.0263545581783802,0.0123658156625341,0.000412613486404045,0.075333518363171,0.0421658128027422
gene009,0.0277944433880651,0.0107619466303051,0.060733791282552,0.725321533797813,0.0293163954548124,0.0267844467054234,0.0502995598144442,0.0507665335053939,0.00710336383903277,0.00413667321921731,0.0922840466750225,0.105375580374457
gene010,0.0942817654959536,0.0992814320293836,0.0992799254050907,0.0960310138442546,2.41928076684445,0.0925394898771522,0.0798893372771616,0.0817642008510959,0.079396408082825,1.94813838500794,0.0770657151064118,0.0769065695532371
gene011,0.460292341079513,0.000178002913008823,0.156961420473404,0.0719132269413644,0.0252258975652461,0.0249687733033507,0.03863673868805,0.0676760116158897,0.0632356321244645,0.0756562240762628,0.0217431987049748,0.11076804393387
gene012,0.0795988557600909,0.248858958029585,0.0826977848808005,0.116649057414224,0.209057971638892,0.00198139885904288,0.0006735865711575,0.0182189188275665,0.0804296579425587,0.108064677967387,0.000417020698304751,0.0185348329515442
gene013,0.0162724501175303,0.0868462457778309,0.0348166160448676,0.00621625726414572,0.214204534968239,0.0933850103086738,0.00012914414031906,0.0775533612710536,0.203918595645457,0.432883952290983,0.0424459034509836,2.50086350461209
gene014,0.256658005027058,0.0825053141647064,0.0825021708241384,0.00315029616208064,0.00232565096717746,0.00549690311923266,0.201806853603025,0.0214994021714804,0.0430993902119702,0.0924045131903243,0.00433496446529598,0.0223959803559712
gene015,0.0148043720938985,0.538263101906052,2.37506813424303e-06,0.0850224821245552,0.0123236885725915,0.184312051647416,0.0317030782945593,0.00210675785652817,0.0499933539389841,0.0581027408370077,0.086937090060634,0.154822836548631
gene016,0.0199221771527247,0.0203845025295503,0.0113330220771101,0.0148663406850999,0.0168520054350871,0.0343823757817602,0.104784432301176,0.00541992296574607,0.0941221089567935,0.0111599680274121,0.048675823810774,0.00339423159383072
gene017,0.578754233852253,0.0281857489554229,0.010918272656459,0.00930295202108253,0.0862439694240383,0.0850970896957891,0.059746618272003,0.00173645997405931,0.143917659619453,0.0317785995073162,0.00092969385622045,0.0580263476586156
gene018,2.23633899596687e-07,0.152612503602488,0.00697599995454451,0.521641242844922,0.00190781526657218,0.0416977460080917,0.136447387973088,0.0199613788693532,0.108952902593551,0.659687821917836,0.030540146014605,0.0215618389753718
gene019,0.136512553042478,0.00580009730403372,0.000836192695273428,0.0648756430206604,0.018637862418365,0.126882479602433,0.110488648706842,0.033314601316737,0.00112341048679764,0.128985989548988,0.0320479644024054,0.00406179639850508
gene020,0.0135077837104038,0.0405048295032239,0.0137011385056352,0.0439707802327918,0.0136116194111716,0.0134375214897119,0.0105171643800292,0.0106141541154378,0.0104913194629648,0.010393958807316,0.0103671150071961,0.0103585110854582
gene021,0.0953532029724878,0.0997703291947861,0.0307662906897389,0.0092400913553795,0.377542193963626,0.0790334306596743,0.95329436859378,0.129390602031037,0.0252269924835283,0.00102905298275806,0.0344934728552188,0.0924660598334798
gene022,0.0137184201657246,0.000998609020663253,0.0144331133807242,0.199605869250113,0.111015795596087,0.0202084352252255,0.0590272641481327,0.00179771078310538,0.0380669587715561,0.011356083158549,0.0358728552774523,0.0423077125701984
gene023,0.0366485706524906,0.0507831839404075,0.023020212688172,0.149491872449812,0.0115081232463943,0.0523283682178563,0.0410080499935495,0.000158628040270265,0.000154088112608033,0.0631405059694037,0.0156141714104294,0.09220177895805
gene024,0.796582880090402,0.0131568498025996,0.0425806279505496,0.0361441227775682,0.127692472383183,0.0652378216519244,0.000180441330016643,0.0457766986247769,0.239213817636577,1.44898010320184,0.229960029947614,0.00137894623433897
gene025,0.0675172600984269,0.00306224687781208,0.0909283696777534,0.0102810236486736,0.0288914376470185,0.065706840302525,0.273878339667441,0.00401617743466832,0.143816602144836,0.0685063381160498,0.0211762888091186,0.040200530892541
gene026,0.0449112560683629,0.0501888932003925,0.0103677651007494,0.0526638046291883,0.000937571183719416,0.122327828830032,0.0283858502045471,0.004445710677432,0.508855191709747,0.00239002596209709,0.0461209788105668,0.0459099448177225
gene027,0.00405427949657266,0.0021037569520431,0.0126117411418075,0.00529349593619575,0.0261152820470398,0.00741137965336703,0.0580005243642229,0.000900513278888153,0.0706834252885525,0.0918889612820327,0.222697134839715,0.135457479171032
gene028,0.0294679605859891,0.00440717226181878,0.124597791168569,0.345801614822406,0.053579350584127,0.0522057073878417,0.0433604109105135,0.0381760766432734,0.479324845995018,0.118478455035145,0.0410695289810885,0.0173362277169253
gene029,0.0241042667155654,0.081483454672026,0.0408301433600166,0.0208340368444855,0.0661507221031027,0.00168839138234634,0.0136060321700202,0.0633346086449768,0.0290767012176076,0.00760117717868135,0.0166170108287059,0.0697479689697067
gene030,0.318817259522652,0.566196340605959,0.00439580502301113,3.71624781927082e-05,0.0547242835502265,0.000140374671322935,0.288606921368518,0.00667201136600291,0.0141293176449742,0.168455274158449,0.0206649921232055,0.00037850704163082
gene031,0.00716868073452556,0.311409115664349,0.0413933430964379,0.0608181011486099,0.0465030251527164,0.0566649760444557,0.058798305662556,0.2109440283861,0.0581233994140913,0.00136210065923962,0.00154413821666246,0.00262716887543261
gene032,0.0763908829357543,0.0180681904467233,0.0645480435744004,0.0950263542670386,0.0169622110657408,0.00432528208825306,0.00221719158564975,0.0306169892141867,0.036753355054377,0.20075839098445,0.000299476182705946,0.000281670112051588
gene033,0.731520254048738,8.6442989792112e-05,0.10703203763612,0.295616647850521,0.0229706144230251,0.0160689864306635,0.00260019493733464,0.030603192490874,0.215080457026618,0.0936155636491794,0.0769092644257202,0.0113084424376925
gene034,0.000556040680726101,0.0490413155073466,0.110903460380822,0.0150564850090769,0.118984475559878,0.0955420029920379,0.0516573917195808,0.100303202138936,0.00248644980594856,0.0982362656464856,0.458991699005592,0.0520298117801005
gene035,0.00457247830897004,0.0692225933855629,0.00205705753057736,0.00832570750688863,0.0758386115539782,0.0468616132288257,0.0337643858924626,0.170770750946299,0.0146718162933,0.0808917788482482,0.00317465200038457,0.0180347156859997
gene036,0.129595256659955,0.137910227306809,0.00353966929746585,0.132496894597129,2.30256881570415,0.126713576299445,0.00194976904334102,0.0762483593900312,0.166606140067274,0.0671359113434815,0.000888884854716431,0.0393614262044454
gene037,0.00107814304956969,0.00324207733567464,0.000150166766187526,0.0609078325182882,0.000638517846939018,0.0806937895872857,0.0657161293154896,7.34658364531528e-06,0.0606712106996409,1.29440906698008e-05,0.0441404799348404,0.0820158963460322
