rowname,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,geneID,geneName,geneBiotype,broadClass,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12
gene001,148.403785000558,1.35264210025029,0.347548502865268,3.89050465658048,0.000100035957129943,0.00127481719727133,ENSG00000000003,TSPAN6,protein_coding,coding,64.329749319385,146.048127923972,59.5730542702245,98.9194531317322,76.534196285044,10.215648425888,153.06028336236,337.700494720056,157.613998163641,165.525671197692,218.371805907597,292.952937299101
gene002,33.9922605968005,-0.212963999241099,0.369233704923516,-0.576721782829142,0.564127415000645,0.724473708670078,ENSG00000000005,TNMD,protein_coding,coding,31.1597223265771,80.7108075369319,36.5125171333634,33.6326140647889,11.7744917361606,27.5822507498977,41.9982484835745,31.1160347438534,41.279856661906,10.5247536599689,33.6696617038145,27.9461683607695
gene003,10.6049816556073,-1.55404632080725,0.468131217969108,-3.29249493232133,0.000993026874289487,0.0077114743206543,ENSG00000000419,DPM1,protein_coding,coding,30.1545699934617,20.177701884233,11.5302685684306,18.7946960950291,16.6805299595609,6.12938905553283,0.9332944107461,2.74553247739883,0.938178560497865,12.4383452345087,4.8099516719735,1.92732195591514
gene004,81.1776844552012,-1.80260836472936,0.364371380404105,-4.94021279555838,7.80373590203037e-07,2.77032624522078e-05,ENSG00000000457,SCYL3,protein_coding,coding,170.875896629616,60.533105652699,250.783341363364,44.5137539092795,65.7409121935634,196.14044977705,16.7992993934298,51.2499395781115,30.0217139359317,20.0927115326678,43.2895650477615,24.0915244489392
gene005,11.5576114936184,0.263835331715528,0.469602961471577,0.561727124220556,0.574301950918123,0.733748250915957,ENSG00000000460,C1orf112,protein_coding,coding,11.0566756642693,5.76505768120942,19.2171142807176,5.93516718790393,16.6805299595609,2.04312968517761,4.6664720537305,9.15177492466277,11.2581427259744,2.87038736180969,36.5556327069986,13.491253691406
gene006,252.416781379392,-0.0328930062088621,0.268280845951333,-0.122607212058288,0.902418143141209,0.94025538184734,ENSG00000000938,FGR,protein_coding,coding,199.020161956847,165.264986861337,277.687301356369,247.29863282933,267.869686997654,375.93586207268,124.128156629231,329.46389728786,162.304890966131,293.736306691858,332.848655700566,253.442837202841
gene007,81.0997477420385,0.0980419669499637,0.296189150242032,0.331008061574491,0.74063839623643,0.848340925650895,ENSG00000000971,CFH,protein_coding,coding,67.3452063187312,67.2590062807766,131.637232822915,62.3192554729913,50.0415898786826,89.8977061478148,90.5295578423717,97.0088142014254,32.8362496174253,109.074719748768,79.84519775476,95.4024368177993
gene008,64.0899722089015,0.604811295938241,0.394405115923992,1.53335619294003,0.125188116158424,0.263637685299732,ENSG00000001036,FUCA2,protein_coding,coding,43.2215503239618,7.6867435749459,33.6299499912558,92.9842859438283,16.6805299595609,96.0270952033476,111.062034878786,107.075766618554,98.5087488522758,83.241233492481,33.6696617038145,45.2920659640058
gene009,5.12109828068136,0.286427233010566,0.521896745620791,0.548773042664437,0.583161212338332,0.741256067857164,ENSG00000001084,GCLC,protein_coding,coding,2.01030466623078,2.88252884060471,0.960855714035879,15.8271125010772,1.9624152893601,2.04312968517761,1.8665888214922,10.0669524171291,7.50542848398292,4.78397893634948,11.5438840127364,0
gene010,0.727768447706653,-0.0526630529050865,0.375980677351025,-0.140476361716934,0.888283627901405,0.937318392923564,ENSG00000001167,NFYA,protein_coding,coding,0,0,0,0,4.90603822340025,0,0,0,0,3.82718314907959,0,0
gene011,649.673247262987,0.148680027826089,0.262745048833422,0.565872963685134,0.571480141810556,0.732024820824346,ENSG00000001460,STPG1,protein_coding,coding,1048.37388343935,605.33105652699,360.320892763455,442.169955498843,512.190390522986,715.095389812163,545.043935875723,499.686910886588,865.000632779031,488.922647294917,790.756054872443,923.187216883351
gene012,12.9500197211149,1.20189297885593,0.494937094421941,2.42514332462715,0.015302344153766,0.0559210665031007,ENSG00000001461,NIPAL3,protein_coding,coding,1.00515233311539,14.4126442030236,0.960855714035879,0,13.7369070255207,5.10782421294402,21.4657714471603,27.4553247739883,35.6507852989189,1.91359157453979,21.1637873566834,12.5275927134484
gene013,131.322723940938,-0.370722147861982,0.308355718090911,-1.20223865893562,0.229271075246765,0.404069944672489,ENSG00000001497,LAS1L,protein_coding,coding,164.844982630924,184.481845798702,127.793809966772,140.46562344706,95.1771415339649,185.924801351162,113.861918111024,87.8570392767627,72.2397491583356,53.5805640871142,94.2750527706805,255.370159158756
gene014,17.2338763714152,0.924732839537774,0.395786114285787,2.33222297253276,0.0196889642603475,0.0675584684459537,ENSG00000001561,ENPP4,protein_coding,coding,20.1030466623078,5.76505768120942,5.76513428421528,9.89194531317322,11.7744917361606,12.2587781110657,7.4663552859688,18.3035498493256,30.9598924964295,34.4446483417163,21.1637873566834,28.9098293387271
gene015,23.5116421273216,-0.250219612476814,0.414277087456015,-0.60392834887291,0.545891280190988,0.710230278154243,ENSG00000001617,SEMA3F,protein_coding,coding,20.1030466623078,61.4939485995672,25.9431042789687,11.8703343758079,31.3986446297616,5.10782421294402,13.9994161611915,19.2187273417918,12.1963212864722,11.4815494472388,32.7076713694198,36.6191171623876
gene016,21.2213734781943,0.689136799537631,0.424095872301823,1.62383070216249,0.104411945562664,0.229613880286036,ENSG00000001626,CFTR,protein_coding,coding,21.1081989954232,21.1385448311012,10.5694128543947,9.89194531317322,20.6053605382811,7.15095389812163,2.7998832322383,32.946389728786,50.6616422668847,35.4014441289862,10.5818936783417,31.8008122725998
gene017,2.78559605304072,-0.869205280207987,0.529516183608486,-1.65692179614812,0.0975352870727743,0.218356025563824,ENSG00000001629,ANKIB1,protein_coding,coding,16.0824373298462,1.92168589373647,2.88256714210764,5.93516718790393,0,0,0,0.915177492466277,2.81453568149359,1.91359157453979,0.961990334394699,0
gene018,32.2492707390537,0.393787956034917,0.370686696481673,1.06218385055035,0.288152229805134,0.480576034272321,ENSG00000001630,CYP51A1,protein_coding,coding,27.1391129941155,12.4909583092871,24.021392850897,54.4056992224527,25.5113987616813,19.4097320091873,18.665888214922,30.2008572513872,20.639928330953,78.4572545561316,46.1755360509456,29.8734903166846
gene019,22.8308464572278,-0.259402853759211,0.366832185550145,-0.707100557636909,0.479503989466395,0.673314348819357,ENSG00000001631,KRIT1,protein_coding,coding,10.0515233311539,22.0993877779695,24.021392850897,35.6110031274236,19.624152893601,39.8410288609634,9.332944107461,26.5401472815221,21.5781068914509,32.5310567671765,14.4298550159205,18.3095585811938
