rowname,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12
gene001,6.21825856299611,7.28877449710955,6.12248541831468,6.77030413410501,6.43812200547115,4.26910989458622,7.35212989963409,8.44341770327084,7.39182854346623,7.4583010672542,7.83759294914672,8.24486413997603
gene002,5.35688451208633,6.50622392874888,5.53643937318637,5.44270186912548,4.38914270030061,5.22257389987706,5.69937110291894,5.35532003254376,5.67907469436331,4.29384090677339,5.44394836661836,5.23684478319207
gene003,5.32043767182344,4.89459003508669,4.37107519570156,4.82352385461963,4.70706545364627,3.883339704667,2.99541486771253,3.41348674847644,2.99697065426052,4.43699812558422,3.72475516726466,3.25290743075344
gene004,7.50157436444215,6.14234002608421,8.02885050854132,5.76822912546538,6.24547851067828,7.68999891139809,4.71388387689558,5.93767026444227,5.31554824108663,4.89032881687977,5.73513722476985,5.0776445835648
gene005,4.3352873638015,3.84180309338619,4.84562920332652,3.86139042226028,4.70706545364627,3.2776511288812,3.70600517063253,4.18000452688356,4.35063555438579,3.43552519269784,5.53779628026326,4.50942219372933
gene006,7.70999141597313,7.456159031192,8.17034940752672,8.00946359916613,8.12030916020323,8.59379296312668,7.07056491364473,8.40886421709893,7.43160984575391,8.24858599107805,8.42316402556178,8.04347294653465
gene007,6.27580677537457,6.2741934695279,7.14909963066341,6.17855962356411,5.90872629231441,6.64552512382042,6.65462642473022,6.74476837857619,5.41563582126907,6.8988981583721,6.49237314476076,6.72294198044616
gene008,5.73327578631481,4.04551244343862,5.44261219149063,6.68944695371258,4.70706545364627,6.73146889955798,6.92277046127302,6.87447922596493,6.76485324301722,6.54596268808551,5.44394836661836,5.78887307750728
gene009,3.27071682039306,3.43763946111346,3.00413944816991,4.65701474922607,3.26048882073373,3.2776511288812,3.23960807022994,4.25703563729681,4.02775924805569,3.72138583922322,4.3720892540553,2.39135267419603
gene010,2.39135267419603,2.39135267419603,2.39135267419603,2.39135267419603,3.73712703523555,2.39135267419603,2.39135267419603,2.39135267419603,2.39135267419603,3.58887258185095,2.39135267419603,2.39135267419603
gene011,10.0482700696405,9.26626964678479,8.53426252285886,8.82209953168177,9.02964807336407,9.50293208935912,9.1176102851325,8.99470963442295,9.77390103269184,8.96393791498809,9.64604504596502,9.86673912027362
