rowname,seqnames,start,end,width,strand,geneID,geneName,geneBiotype,broadClass,baseMean,baseVar,allZero,dispGeneEst,dispGeneIter,dispFit,dispersion,dispIter,dispOutlier,dispMAP,Intercept,condition_B_vs_A,SE_Intercept,SE_condition_B_vs_A,WaldStatistic_Intercept,WaldStatistic_condition_B_vs_A,WaldPvalue_Intercept,WaldPvalue_condition_B_vs_A,betaConv,betaIter,deviance,maxCooks
gene001,X,100627109,100639991,12883,-,ENSG00000000003,TSPAN6,protein_coding,coding,148.403785000558,9427.0622701492,FALSE,0.306098753421589,9,0.135468731378358,0.217114296756071,10,FALSE,0.217114296756071,6.2474202488219,1.5396748197162,0.282524167735925,0.395751953955886,22.1128701975732,3.89050465658048,2.37664535066529e-108,0.000100035957129943,TRUE,4,133.856100608639,0.324375733870466
gene002,X,100584802,100599885,15084,+,ENSG00000000005,TNMD,protein_coding,coding,33.9922605968005,313.155016007354,FALSE,0.241852446490638,5,0.232063928158356,0.237035228075954,6,FALSE,0.237035228075954,5.20632204635004,-0.247560813803757,0.302480691251827,0.429255181916891,17.212080628365,-0.576721782829142,2.15546411248042e-66,0.564127415000645,TRUE,3,100.106860785051,0.932395351713554
gene003,20,50934867,50958555,23689,-,ENSG00000000419,DPM1,protein_coding,coding,10.6049816556073,87.2453728686483,FALSE,0.378434110448292,8,0.508376414640548,0.452059144300374,8,FALSE,0.452059144300374,4.10817540896041,-2.12445188140758,0.420307376284182,0.64524074450428,9.77421677744421,-3.29249493232133,1.45276597952354e-22,0.000993026874289487,TRUE,4,73.3807304782978,0.688875437627988
gene004,1,169849631,169894267,44637,-,ENSG00000000457,SCYL3,protein_coding,coding,81.1776844552012,6192.71952524063,FALSE,0.31591383134154,9,0.159235332013334,0.238194702019786,10,FALSE,0.238194702019786,7.03805757199925,-2.08694597099615,0.291945691395728,0.42244050152505,24.1074205902881,-4.94021279555838,2.08966498051525e-128,7.80373590203037e-07,TRUE,4,117.142421549435,0.0750981316082998
gene005,1,169662007,169854080,192074,+,ENSG00000000460,C1orf112,protein_coding,coding,11.5576114936184,90.7570518865738,FALSE,0.530188714437599,5,0.475274207530595,0.50284985213373,6,FALSE,0.50284985213373,3.34029521154613,0.358754956221614,0.456311644747325,0.63866411421634,7.32020593819332,0.561727124220556,2.4759069685875e-13,0.574301950918123,TRUE,4,81.5555530171543,0.830748877880585
gene006,1,27612064,27635277,23214,-,ENSG00000000938,FGR,protein_coding,coding,252.416781379392,5936.29172169929,FALSE,0.109304412335211,9,0.123642804484584,0.115637817955477,7,FALSE,0.115637817955477,7.99710252002178,-0.0352977529379217,0.20360143304424,0.287892957888488,39.2782231463181,-0.122607212058288,0,0.902418143141209,TRUE,3,138.943365754095,0.199158067503762
gene007,1,196651878,196747504,95627,+,ENSG00000000971,CFH,protein_coding,coding,81.0997477420385,726.330536246668,FALSE,0.121628176509602,7,0.159285751301325,0.138943947488186,6,FALSE,0.138943947488186,6.28714502245294,0.107093367933777,0.229304691498043,0.32353703841644,27.4183008702489,0.331008061574491,1.65964075950698e-165,0.74063839623643,TRUE,3,113.803067136695,0.881603406585359
gene008,6,143494811,143511690,16880,-,ENSG00000001036,FUCA2,protein_coding,coding,64.0899722089015,1411.95248625987,FALSE,0.446990500138533,10,0.173223729490118,0.304981412289316,11,FALSE,0.304981412289316,5.59505244698546,0.723734424777082,0.335969801547704,0.471993675122156,16.6534385567121,1.53335619294003,2.85703974570787e-62,0.125188116158424,TRUE,4,119.777138233463,0.215189063289421
gene009,6,53497341,53616970,119630,-,ENSG00000001084,GCLC,protein_coding,coding,5.12109828068136,24.9450515231747,FALSE,0.864740204967222,7,0.938433356723803,0.903135996035885,7,FALSE,0.903135996035885,2.09744625141273,0.478878590506965,0.62709418796493,0.872635048146468,3.34470689039464,0.548773042664437,0.000823695699629209,0.583161212338332,TRUE,5,65.6781890026897,0.725321533797813
gene010,6,41072945,41099976,27032,+,ENSG00000001167,NFYA,protein_coding,coding,0.727768447706653,2.94188899493953,FALSE,12,6,5.95894826064373,8.22913436411897,9,FALSE,8.22913436411897,-0.289432402274928,-0.362041978642676,1.80908788220972,2.57724484189167,-0.159988027735501,-0.140476361716934,0.872890505218572,0.888283627901405,TRUE,4,21.9514452495722,2.41928076684445
gene011,1,24356999,24416934,59936,-,ENSG00000001460,STPG1,protein_coding,coding,649.673247262987,46477.8639429013,FALSE,0.108631084666802,7,0.113325445275003,0.112359615626687,7,FALSE,0.112359615626687,9.26178815868522,0.159039063846572,0.198832615700731,0.281050825985504,46.5808294380909,0.565872963685134,0,0.571480141810556,TRUE,3,161.464142875051,0.460292341079513
gene012,1,24415794,24472976,57183,+,ENSG00000001461,NIPAL3,protein_coding,coding,12.9500197211149,136.915931201226,FALSE,0.992045099461713,5,0.435651983979446,0.659360945606511,6,FALSE,0.659360945606511,2.55575558284619,1.76887274726212,0.535651556983352,0.729388951695908,4.77130244377433,2.42514332462715,1.83038453457713e-06,0.015302344153766,TRUE,5,83.2338177661361,0.248858958029585
gene013,X,65512582,65534775,22194,-,ENSG00000001497,LAS1L,protein_coding,coding,131.322723940938,3347.51389357702,FALSE,0.176297123666481,9,0.139201583364018,0.15890806035882,10,FALSE,0.15890806035882,7.22661783395477,-0.40847484419774,0.239602066414171,0.339761861059579,30.1609161477889,-1.20223865893562,7.71489293693364e-200,0.229271075246765,TRUE,3,128.109356592431,2.50086350461209
gene014,6,46129993,46146699,16707,+,ENSG00000001561,ENPP4,protein_coding,coding,17.2338763714152,101.153941668935,FALSE,0.168291885266378,8,0.353901127490956,0.260855563043285,9,FALSE,0.260855563043285,3.44701110358028,1.10941732370239,0.349089566762787,0.475690933829356,9.87428852585157,2.33222297253276,5.38134799360608e-23,0.0196889642603475,TRUE,3,81.94096998251,0.256658005027058
gene015,3,50155045,50189075,34031,+,ENSG00000001617,SEMA3F,protein_coding,coding,23.5116421273216,239.514139643709,FALSE,0.374490223047648,4,0.2879154081524,0.331949748898779,8,FALSE,0.331949748898779,4.70141739561178,-0.30737736833827,0.358194890339804,0.508963304855482,13.1253055875581,-0.60392834887291,2.35829523763002e-39,0.545891280190988,TRUE,4,95.2530011509092,0.538263101906052
gene016,7,117465784,117715971,250188,+,ENSG00000001626,CFTR,protein_coding,coding,21.2213734781943,200.904568219403,FALSE,0.402428874012023,9,0.307465138050303,0.353817755290405,7,FALSE,0.353817755290405,3.91493979027305,0.859458428905195,0.381342600745495,0.529278346419141,10.2662010030341,1.62383070216249,1.0006796076938e-24,0.104411945562664,TRUE,4,92.677418079027,0.104784432301176
gene017,7,92246234,92401384,155151,+,ENSG00000001629,ANKIB1,protein_coding,coding,2.78559605304072,20.5549949667174,FALSE,1.55147511408936,8,1.6357175518895,1.60272287959486,9,FALSE,1.60272287959486,2.15908985201256,-2.01991355768516,0.795354021215608,1.2190759771408,2.7146274418939,-1.65692179614812,0.0066350365947942,0.0975352870727743,TRUE,6,49.508935030318,0.578754233852253
gene018,7,92112151,92142952,30802,-,ENSG00000001630,CYP51A1,protein_coding,coding,32.2492707390537,349.418788169611,FALSE,0.236887137198937,6,0.238835752728591,0.237793132163677,5,FALSE,0.237793132163677,4.76325241160959,0.458540075653282,0.308365337381986,0.431695582093156,15.4467828714131,1.06218385055035,7.93040691629946e-54,0.288152229805134,TRUE,3,98.4304911107092,0.659687821917836
gene019,7,92198969,92246166,47198,-,ENSG00000001631,KRIT1,protein_coding,coding,22.8308464572278,91.8963221627634,FALSE,0.147026045968929,7,0.29331701030363,0.218198116798165,10,FALSE,0.218198116798165,4.65523038367417,-0.300817361218426,0.298783012196445,0.425423736368899,15.5806394394787,-0.707100557636909,9.85638271373587e-55,0.479503989466395,TRUE,3,88.0512732496099,0.136512553042478
gene020,12,912077,990053,77977,-,ENSG00000002016,RAD52,protein_coding,coding,0.16250312318213,0.144076164437016,FALSE,1e-08,28,26.3156866111747,12,6,FALSE,12,-1.50091007296382,-1.02387384334586,2.20373167164752,3.11653965008542,-0.681076599421802,-0.328529060529617,0.495823023022578,0.742511675368489,TRUE,2,13.6005906045629,0.0439707802327918
gene021,7,99238829,99311130,72302,+,ENSG00000002079,MYH16,transcribed_unitary_pseudogene,pseudo,14.6487417325788,468.212760197142,FALSE,0.889710591095388,9,0.397513594729812,0.630227993654948,10,FALSE,0.630227993654948,2.40118566299011,2.18454800708938,0.532350298281598,0.718100645179828,4.51053689786786,3.04211954376161,6.4663751983491e-06,0.00234918577898548,TRUE,4,84.0048102272019,0.95329436859378
gene022,11,64269830,64284704,14875,-,ENSG00000002330,BAD,protein_coding,coding,21.736372805225,289.173102293816,FALSE,0.360763291623599,7,0.302710068392536,0.331591446695868,7,FALSE,0.331591446695868,4.91969681301536,-1.19656621416712,0.355433102646539,0.515923971844537,13.8414142531563,-2.31926849587767,1.43358033952947e-43,0.0203804825238166,TRUE,4,91.4401691386826,0.199605869250113
gene023,4,17577192,17607972,30781,+,ENSG00000002549,LAP3,protein_coding,coding,67.0125728405616,1258.23532106761,FALSE,0.0489187647165076,10,0.170325492581052,0.102533056994628,11,FALSE,0.102533056994628,6.58487304723507,-1.33484091495611,0.197820210342854,0.288640280974528,33.2871602745869,-4.62458292532604,5.92271201900792e-243,3.7535289826337e-06,TRUE,3,100.926012670599,0.149491872449812
gene024,X,2691133,2741309,50177,+,ENSG00000002586,CD99,protein_coding,coding,8.70238438097469,45.1540637422528,FALSE,0.400214247994752,8,0.596179438184722,0.49463744727224,8,FALSE,0.49463744727224,3.04182745779011,0.15336216967377,0.461666252938276,0.648464692981472,6.58880184208917,0.236500416034449,4.43390083079669e-11,0.813044384486346,TRUE,4,74.0826340464178,1.44898010320184
